153920, 2265, 2715, 2123, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
153964, 2322, 2808, 2021, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154008, 2356, 2770, 1892, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154040, 2358, 2802, 1936, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154073, 2475, 2684, 1935, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154106, 2517, 2721, 1864, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154138, 2509, 2761, 1810, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154171, 2530, 2741, 1747, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154204, 2554, 2772, 1767, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154237, 2607, 2796, 1591, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154269, 2612, 2835, 1623, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154302, 2596, 2787, 1643, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154335, 2616, 2735, 1713, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154368, 2610, 2705, 1731, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154407, 2633, 2598, 1773, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154446, 2657, 2609, 1794, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154485, 2645, 2642, 1794, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154524, 2621, 2661, 1814, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154563, 2615, 2654, 1779, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154602, 2659, 2682, 1735, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154641, 2619, 2707, 1710, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154680, 2687, 2652, 1683, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154719, 2715, 2629, 1652, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154758, 2748, 2623, 1646, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154797, 2751, 2603, 1636, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
154837, 2740, 2628, 1658, 81, db08166b-3d2e-44ef-9abe-1cbd755bfe6d, , transisi, transisi_duduk_ke_sujud, , 
