186326, 1783, 2126, 3313, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186362, 1865, 2207, 2552, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186399, 2150, 2678, 2683, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186435, 2570, 2266, 2758, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186472, 3055, 1953, 3158, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186508, 2673, 3136, 2698, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186544, 2088, 2638, 3377, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186581, 2023, 2385, 3914, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186617, 1994, 1893, 3036, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186654, 2244, 2184, 3011, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186695, 2522, 1754, 2901, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186736, 2909, 1941, 2162, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186777, 3048, 2013, 2075, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186818, 3294, 2104, 1681, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186859, 2926, 2329, 1269, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186900, 3142, 2170, 808, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186941, 3156, 2307, 392, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
186982, 4071, 2517, 650, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187023, 3606, 2263, 570, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187064, 3647, 1822, 638, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187105, 3688, 1819, 410, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187140, 4265, 1797, -69, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187175, 4549, 1944, -984, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187210, 4679, 1151, -716, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187245, 4347, 733, -769, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187280, 3875, 430, -264, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187315, 3669, 462, 64, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187350, 3642, -386, 506, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187385, 3488, -57, 416, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187420, 3677, 281, 420, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187456, 3704, 422, 300, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187500, 4233, 620, 129, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187545, 4481, 1078, -112, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187590, 4224, 1230, -430, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187635, 4403, 2361, -436, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187680, 5197, 2576, 49, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187724, 4766, 1904, 843, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187769, 4463, 2130, 818, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187814, 3933, 2254, 791, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187859, 3545, 2618, 547, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187904, 2737, 3067, -391, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187936, 2126, 3481, -40, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
187968, 1464, 3623, -359, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188001, 820, 3548, -455, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188033, 245, 3114, -325, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188065, -213, 3573, -532, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188098, -349, 3302, -248, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188130, -475, 3001, -197, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188162, -643, 2940, 39, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188195, -881, 2801, -134, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188227, -826, 3116, -93, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188260, -654, 2821, 412, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188299, -651, 4269, 1722, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188338, -677, 5779, -246, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188377, -830, 3496, -534, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188416, -817, 4174, -486, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188455, -750, 4390, -530, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188494, -486, 4030, -135, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188533, -599, 1846, -400, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188572, -1334, 2992, 32, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
188611, -268, 4891, -334, 104, c4ea5a16-0d49-42ba-be45-59408bc99007, , transisi, transisi_sujud_ke_bersedekap, , 
