231167, 2504, 450, 2901, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231207, 2537, 1077, 3365, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231247, 2575, 830, 3027, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231288, 2490, 1016, 2976, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231330, 2458, 1236, 3172, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231372, 2550, 1258, 3075, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231414, 2309, 1320, 3136, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231456, 2228, 1610, 3316, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231498, 2048, 1639, 3202, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231540, 1840, 1632, 3372, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231582, 1764, 1804, 3326, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231624, 1240, 1704, 3125, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231666, 1056, 1805, 3463, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231708, 612, 1766, 3671, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231749, 475, 1769, 4044, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231791, 164, 1947, 4121, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
231833, -83, 1950, 4157, 74, 585d0014-df52-48db-8b7b-a13005ec70a8, , transisi, transisi_sujud_ke_bersedekap, , 
