181377, 3652, 960, 1657, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181414, 3770, 850, 1637, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181450, 3830, 1117, 1296, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181487, 3956, 866, 1172, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181524, 3964, 687, 1099, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181561, 3981, 757, 938, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181597, 3993, 746, 868, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181634, 4143, 775, 915, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181671, 4125, 795, 915, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181708, 3753, 1034, 917, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181748, 3758, 1083, 784, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181789, 3931, 967, 732, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181830, 3921, 806, 653, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181871, 4042, 1140, 772, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181912, 3980, 907, 681, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181953, 3944, 997, 643, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
181994, 4008, 985, 631, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182035, 3910, 949, 745, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182076, 3933, 994, 691, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182117, 4008, 990, 791, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182154, 3972, 1108, 857, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182191, 3932, 1097, 900, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182228, 3950, 1010, 909, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182265, 3927, 1101, 960, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182302, 3922, 977, 956, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182340, 3932, 1006, 934, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182377, 4028, 907, 913, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182414, 3954, 822, 1004, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182451, 3900, 1003, 1066, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182488, 3943, 1090, 1293, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182526, 4151, 1114, 1343, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182564, 4731, 995, 1742, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182602, 5467, 770, 2416, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182640, 5203, 557, 1926, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182678, 5814, -36, 2100, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182717, 4972, 646, -56, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182755, 4661, 196, -459, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182793, 4164, 202, -579, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182831, 3932, 134, -345, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182869, 3511, 529, -751, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182908, 3258, 822, -24, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182948, 2350, 1292, 353, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
182989, 2315, 444, 1000, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183030, 2726, 1587, 1038, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183071, 2537, 2561, 4436, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183112, 3780, -950, 5172, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183153, 1959, 75, 2093, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183194, 3161, 376, 2219, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
183235, 3285, 409, 3120, 74, dda261d9-f336-4395-b50b-403f48ab7cbe, , transisi, transisi_duduk_ke_bersedekap, , 
