209773, 4069, 51, -603, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209807, 4084, 111, -682, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209842, 4091, 137, -598, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209876, 4190, 308, -501, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209911, 4127, 100, -326, 101, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209953, 4130, 495, -424, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
209996, 4167, 342, -95, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210039, 4226, 420, -25, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210081, 4488, 413, 36, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210124, 4560, 483, 81, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210167, 5878, 696, 1345, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210209, 6692, 536, 2577, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210252, 6108, 426, -186, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210295, 4825, 778, -2796, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
210337, 4369, 439, -991, 100, 53f5e9d4-2d07-444a-b10f-de0b9b7963f0, , transisi, transisi_duduk_ke_bersedekap, , 
