230693, 4838, -547, -985, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
230733, 3982, -68, -1274, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
230773, 3513, 455, -1884, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
230814, 3186, 535, -1999, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
230854, 3403, 362, -1510, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
230895, 3748, -249, -1040, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
230936, 3410, 30, -1473, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
230976, 2712, 271, -1703, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231017, 2652, -1230, -1342, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231057, 2274, -873, -1195, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231098, 2517, 169, -1614, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231139, 2577, 709, -2321, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231174, 2879, -194, -1416, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231209, 3111, -1074, -2301, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
231244, 3811, 100, -1840, 99, e62b02cc-6bac-49d9-9ad1-170fd35f4023, , transisi, transisi_bersedekap_ke_ruku, , 
