511113, 4012, -1654, -1597, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511157, 3908, -1323, -964, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511201, 4166, -549, -1296, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511245, 4032, -696, -1616, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511289, 4679, -922, -2163, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511334, 4057, 281, -2022, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511367, 3876, -142, -2696, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511400, 3839, 67, -2487, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511434, 3564, 650, -1979, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511467, 3294, 706, -1814, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511501, 3170, 893, -1715, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511534, 3163, -73, -2848, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511568, 4280, 876, -2921, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511601, 4294, 152, -2910, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511635, 4019, 1104, -2229, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511668, 3487, 1246, -2295, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511702, 3375, 1604, -2410, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511745, 3273, 939, -2408, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511788, 3097, 668, -2376, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
511831, 2983, 582, -2629, 74, 64420e97-1f17-4348-b556-43e6ac93c030, , transisi, transisi_bersedekap_ke_ruku, , 
