181211, 5299, 3658, -82, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181245, 5534, 4025, -583, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181280, 4106, 4085, -751, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181315, 3549, 2839, -1077, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181350, 3501, 2245, -916, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181385, 3409, 1443, -1099, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181420, 3705, 1681, -1446, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181455, 3472, 1347, -1366, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181490, 3866, 789, -1452, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181525, 3436, 994, -1448, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181560, 3837, 665, -1876, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181595, 1425, 459, -2437, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181633, 9067, -556, -2928, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181672, 1473, 736, -2534, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181711, 4941, -721, -2367, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181750, 4000, -224, -2382, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181789, 3301, -416, -2490, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181828, 3570, 36, -2734, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181867, 3283, -54, -2796, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181906, 2993, -259, -3126, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181945, 3131, -113, -2913, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
181984, 2801, -443, -2263, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
182026, 3093, -250, -3206, 101, 2f9233b7-9298-4250-9851-72458febc1b0, , transisi, transisi_bersedekap_ke_ruku, , 
