104792, 3393, 446, -1042, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
104824, 3429, 1116, -1482, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
104857, 3749, 1264, -982, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
104889, 3786, 1349, -377, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
104921, 3878, 85, -695, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
104953, 4387, 1294, -649, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
104985, 4813, -2654, 847, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105018, 2641, -5382, -2136, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105057, 3968, -1217, -518, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105096, 3568, -1058, -2136, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105135, 3622, -1709, -1030, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105174, 3510, -1022, -921, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105213, 3505, -812, -1096, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105252, 3408, -1078, -1307, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105291, 3495, -661, -1283, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
105330, 3904, -1169, -1018, 98, 22fd0034-f43d-4e8d-9fd4-8ec3479b1732, , transisi, transisi_bersedekap_ke_ruku, , 
