97360, 3694, 535, -474, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97405, 3310, -222, 270, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97450, 3178, -622, 304, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97495, 3080, -888, -1040, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97528, 2421, 3087, -4696, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97561, 3259, -8893, 218, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97594, 3458, -1335, -2297, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97627, 3386, -3368, -1779, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97660, 3568, -2223, -1195, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97693, 3593, -1196, -1199, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97726, 3986, -1230, -816, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97759, 4028, -1739, -769, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97792, 4006, -505, -1522, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97825, 4191, -1248, -1736, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97858, 4076, -762, -1707, 96, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97898, 4071, -1555, -2018, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97938, 3837, -1375, -1538, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
97979, 3755, -200, -1626, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
98019, 4069, -1432, -1733, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
98060, 4539, 328, -2953, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
98100, 4346, -776, -2620, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
98140, 3936, -705, -2060, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
98181, 2680, -879, -1979, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
98221, 3551, -1384, -2317, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
98262, 3689, -744, -2035, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
98297, 4256, -1388, -2335, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
98333, 3563, -1220, -2108, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
98369, 3225, -1322, -2042, 97, 3b6459b1-a66b-4e0a-a644-8bbaf8f41d8d, , transisi, transisi_bersedekap_ke_ruku, , 
