205654, 2275, -620, -1193, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
205694, 3253, 146, -1101, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
205734, 3801, -323, -1241, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
205774, 3713, -321, -1024, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
205814, 4146, -1147, -420, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
205855, 4496, -1104, -868, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
205897, 4666, -692, -978, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
205939, 4246, -947, -1511, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
205981, 4044, -1021, -1657, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
206023, 4018, -868, -1607, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
206065, 3829, -459, -1224, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
206107, 3969, -373, -1584, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
206149, 3795, -1135, -1618, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
206191, 4036, -1330, -2298, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
206233, 3739, -766, -2316, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
206275, 4166, -1634, -2239, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
206309, 4183, -574, -2284, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
206344, 3611, -323, -1755, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
206378, 3786, -712, -1812, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
206413, 3634, -908, -2020, 104, 54574dea-2d43-4b7f-b8fa-ae46d3d539da, , transisi, transisi_bersedekap_ke_ruku, , 
