124725, 4383, -552, -688, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
124761, 4142, -565, -982, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
124798, 3912, -484, -1540, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
124835, 4126, -866, -1452, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
124872, 3959, 36, -1819, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
124909, 3703, -408, -2071, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
124946, 4021, -811, -1936, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
124983, 3948, -968, -1787, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125020, 3685, -902, -1690, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125057, 3470, -35, -1758, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125094, 3691, -564, -2072, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125131, 3743, -993, -2087, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125172, 4080, -1126, -2349, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125214, 3507, 154, -2490, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125256, 4088, -1186, -2168, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125298, 3969, -606, -2550, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125340, 3269, -604, -2870, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125382, 3202, -296, -2569, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125424, 3062, -418, -2249, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125466, 3083, -779, -2330, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125508, 3055, -589, -2472, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125550, 3489, -973, -2525, 102, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125587, 3313, -792, -2535, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125625, 3307, -724, -2422, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125662, 2953, -386, -2363, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125700, 3278, -1020, -2541, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125737, 3138, -627, -2937, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125775, 3226, -622, -2917, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
125812, 3107, -698, -2664, 103, 049f232f-6d41-49d8-bf60-ffe974745cfc, , transisi, transisi_bersedekap_ke_ruku, , 
