68870, 3539, 1014, -466, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68909, 2959, -164, -147, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68948, 2156, -475, -385, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
68987, 2533, 5286, -1805, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69026, 3486, -6201, 697, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69065, 2881, -915, -539, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69104, 2377, 518, -3739, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69143, 3363, -1926, -2487, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69176, 3861, -2044, -2049, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69209, 5485, -1642, -1298, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69242, 4033, -1123, -1645, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69275, 3477, -748, -2605, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69308, 3095, -2235, -2325, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69341, 4017, -1297, -3101, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69374, 4020, -2111, -2938, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69407, 4600, -1569, -2026, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69440, 4186, -766, -1605, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69473, 3336, -907, -2088, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69507, 3629, -1333, -2370, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69551, 3779, -1093, -2573, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69596, 3878, -682, -1999, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69641, 3751, -842, -2197, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69686, 3571, -622, -2121, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69731, 3503, -568, -2140, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
69776, 3427, -461, -2154, 74, d842619b-90e2-4a06-a8d8-7ab621b9c5d6, , transisi, transisi_bersedekap_ke_ruku, , 
