272183, 4141, -120, 368, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272225, 3985, 57, -1099, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272267, 3190, -253, -3822, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272308, 2499, -643, -3971, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272350, 4605, -4572, -880, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272392, 2912, -2568, -1203, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272434, 2409, -919, -2824, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272468, 2415, -265, -2889, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272502, 3275, -2268, -1709, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272536, 3666, -2170, -1550, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272570, 3909, -1739, -1943, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272604, 3731, -1407, -2207, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272638, 3997, -870, -2516, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272672, 3675, -1042, -2055, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272706, 4181, -1316, -2421, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272740, 4205, -646, -2591, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272774, 3509, -634, -1921, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272808, 3413, -341, -2299, 94, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272850, 3651, -159, -2647, 93, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272893, 3610, -256, -2589, 93, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
272935, 3791, -443, -2514, 93, e81a7482-6bce-4f78-875c-5d7e98294d7e, , transisi, transisi_bersedekap_ke_ruku, , 
