15561, -3115, -2453, 311, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
15598, -3353, -2276, 383, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
15635, -3375, -2126, 291, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
15672, -3362, -2011, 278, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
15709, -3568, -1837, 295, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
15746, -3374, -1654, 393, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
15783, -3656, -1319, 440, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
15820, -3418, -1266, 593, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
15857, -3355, -978, 594, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
15894, -3227, -749, 856, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
15931, -3441, -437, 1267, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
15971, -4053, -85, 1341, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16011, -3620, 296, 1625, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16052, -3465, 597, 2027, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16092, -3241, 779, 2216, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16133, -3214, 1216, 2452, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16173, -3187, 1750, 2453, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16213, -2914, 2139, 2502, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16254, -2879, 2200, 2689, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16294, -2628, 2410, 2596, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16335, -2465, 2454, 2548, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16371, -2112, 2626, 2565, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16407, -2237, 3297, 2627, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16443, -2293, 3312, 2395, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16479, -1841, 3172, 2177, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16515, -1728, 3761, 2159, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16552, -1624, 3813, 1688, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
16588, -1447, 3222, 1290, , b4a6c993-05e4-4d0b-a0ea-c1bb128fcaa1, , takbir, takbiratulihram, , 
