88837, -3112, -2774, 13, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
88875, -3063, -2658, 10, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
88913, -3117, -2585, 88, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
88951, -3170, -2480, 83, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
88989, -3298, -2434, 105, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89029, -3284, -2270, 129, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89069, -3486, -2316, 262, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89109, -3478, -2224, 257, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89149, -3608, -2090, 248, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89189, -3566, -1990, 98, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89229, -3628, -1921, 236, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89269, -3718, -1843, 319, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89309, -3734, -1668, 443, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89349, -3765, -1412, 711, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89389, -3755, -1234, 758, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89427, -3767, -944, 974, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89465, -3745, -1028, 997, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89503, -3743, -901, 1097, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89542, -3713, -823, 1282, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89580, -3748, -746, 1383, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89618, -3673, -629, 1522, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89657, -3652, -588, 1598, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89695, -3635, -386, 1696, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89733, -3549, -351, 1761, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89772, -3589, -269, 1831, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89810, -3434, -392, 1953, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89848, -3422, 15, 1971, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89886, -3294, 29, 2159, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
89924, -3416, 31, 2190, 85, c08c85ef-6d31-435e-802c-edf71893f0c3, , takbir, takbiratulihram, , 
