166304, 1708, 2922, 2367, 73, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166336, 1732, 2932, 2358, 73, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166369, 1708, 2929, 2376, 73, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166401, 1701, 2940, 2378, 73, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166434, 1685, 2952, 2361, 73, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166479, 1716, 2938, 2361, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166525, 1688, 2957, 2383, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166571, 1686, 2933, 2352, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166617, 1724, 2920, 2337, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166663, 1734, 2935, 2366, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166708, 1699, 2939, 2363, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166754, 1696, 2946, 2359, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166800, 1713, 2906, 2353, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166846, 1716, 2927, 2364, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166892, 1692, 2931, 2380, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166924, 1689, 2922, 2368, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166956, 1723, 2910, 2356, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
166988, 1717, 2917, 2353, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167021, 1697, 2945, 2352, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167053, 1725, 2946, 2368, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167085, 1725, 2922, 2356, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167117, 1726, 2930, 2391, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167150, 1713, 2919, 2351, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167182, 1707, 2941, 2376, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167214, 1718, 2930, 2372, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167247, 1708, 2924, 2365, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167285, 1701, 2937, 2357, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167324, 1708, 2950, 2350, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167362, 1732, 2925, 2374, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167401, 1677, 2937, 2363, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167440, 1700, 2929, 2350, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167478, 1727, 2943, 2356, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167517, 1733, 2920, 2337, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167555, 1716, 2946, 2347, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167594, 1684, 2940, 2384, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167633, 1713, 2916, 2355, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167674, 1723, 2913, 2344, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167715, 1732, 2950, 2368, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167756, 1703, 2914, 2344, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167798, 1714, 2936, 2336, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167839, 1724, 2937, 2325, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167880, 1735, 2926, 2357, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167922, 1711, 2932, 2356, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
167963, 1707, 2958, 2336, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168004, 1713, 2943, 2345, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168046, 1724, 2941, 2330, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168080, 1719, 2930, 2353, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168115, 1725, 2930, 2335, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168150, 1711, 2942, 2363, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168185, 1704, 2963, 2348, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168220, 1703, 2947, 2331, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168254, 1706, 2930, 2350, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168289, 1725, 2950, 2341, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168324, 1720, 2969, 2332, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168359, 1712, 2952, 2341, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168394, 1712, 2959, 2352, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
168429, 1710, 2949, 2359, 72, 2c012a2c-67fe-42a1-bec9-af1806e33772, , duduk, duduk_tasyahud_akhir, , 
