123514, 4125, -558, 1110, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123554, 4212, 42, 1516, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123594, 4131, -319, 1281, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123634, 3588, -210, 1609, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123674, 3018, -143, 867, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123714, 3756, 3561, 7782, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123754, 2287, -4321, 3746, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123794, 2661, 149, 1868, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123834, 3103, -1447, 1755, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123872, 3706, 22, 1891, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123910, 3546, -466, 2088, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123948, 3422, 28, 2288, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
123986, 2966, -339, 2052, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124024, 3213, -110, 2356, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124062, 3262, 564, 2700, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124100, 3259, -279, 2587, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124138, 3463, 595, 2962, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124176, 3398, 485, 1985, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124214, 3381, 601, 2260, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124253, 3273, 859, 2501, 102, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124289, 3236, 552, 2453, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124325, 3389, 723, 2819, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124361, 3174, 587, 2387, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124398, 2889, 940, 2529, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124434, 2575, 1179, 2785, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124470, 2377, 1489, 2580, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124507, 2117, 1863, 3272, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124543, 2095, 1879, 3465, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124579, 1821, 1551, 3307, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124616, 1776, 1734, 3309, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124657, 1898, 1849, 3348, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124699, 2411, 1740, 2743, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124741, 2674, 1573, 2766, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124782, 2747, 1449, 2800, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
124824, 2655, 1573, 2759, 100, d6246a5f-61ea-4d41-90bc-de67a4d44f47, , transisi, transisi_sujud_ke_duduk, , 
