317388, 3032, 698, 2660, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317431, 2931, 798, 2744, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317473, 2893, 761, 2643, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317516, 3053, 1197, 2637, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317559, 3016, 1052, 2546, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317592, 3160, 950, 2580, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317625, 3095, 1052, 2494, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317658, 3188, 1147, 2510, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317692, 3122, 964, 2663, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317725, 3306, 936, 2394, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317758, 3321, 736, 2218, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317791, 3417, 907, 2242, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
317825, 3477, 870, 2153, 95, 4dbd2630-ad95-49fd-8579-aff1a276032a, , transisi, transisi_sujud_ke_duduk, , 
