293860, 2890, 1196, 2737, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293900, 2867, 1192, 2739, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293940, 2880, 1224, 2733, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
293980, 2889, 1238, 2705, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294020, 2878, 1251, 2714, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294056, 2889, 1268, 2713, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294093, 2894, 1289, 2716, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294130, 2885, 1279, 2686, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294166, 2902, 1295, 2713, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294203, 2882, 1291, 2695, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294240, 2887, 1289, 2701, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294277, 2886, 1287, 2704, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294313, 2872, 1289, 2696, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294350, 2899, 1281, 2690, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294387, 2876, 1272, 2711, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294424, 2882, 1276, 2715, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294463, 2905, 1257, 2710, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294502, 2897, 1298, 2705, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294541, 2900, 1275, 2709, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294581, 2847, 1291, 2694, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294620, 2889, 1287, 2709, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294659, 2881, 1295, 2694, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294699, 2900, 1264, 2694, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294738, 2899, 1308, 2690, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294777, 2872, 1265, 2677, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294817, 2888, 1290, 2686, 86, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294855, 2898, 1310, 2671, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294894, 2920, 1290, 2681, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294932, 2918, 1307, 2678, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
294971, 2912, 1280, 2666, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295010, 2908, 1312, 2685, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295048, 2902, 1299, 2678, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295087, 2917, 1293, 2667, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295125, 2900, 1305, 2654, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295164, 2899, 1291, 2676, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295203, 2921, 1289, 2655, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295239, 2913, 1312, 2678, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295276, 2904, 1263, 2658, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295313, 2933, 1259, 2656, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295350, 2938, 1275, 2666, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295387, 2945, 1242, 2651, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295423, 2967, 1241, 2641, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295460, 2992, 1221, 2617, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295497, 2997, 1221, 2637, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295534, 3005, 1192, 2609, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295571, 3016, 1211, 2604, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295608, 3025, 1204, 2610, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295648, 3004, 1158, 2600, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
295689, 2987, 1235, 2656, 85, 6405a15f-806b-4973-96b2-4d36ac59fe7d, , sujud, sujud, , 
