87503, 3389, -364, -2293, 93, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
87543, 3369, -304, -2328, 93, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
87583, 3370, -371, -2315, 93, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
87623, 3394, -359, -2328, 93, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
87661, 3394, -331, -2309, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
87700, 3382, -327, -2270, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
87738, 3410, -349, -2343, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
87777, 3395, -366, -2261, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
87816, 3388, -373, -2307, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
87854, 3394, -328, -2355, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
87893, 3365, -342, -2275, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
87931, 3425, -342, -2314, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
87970, 3370, -328, -2331, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88009, 3384, -392, -2264, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88048, 3362, -353, -2324, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88088, 3391, -352, -2311, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88127, 3360, -383, -2341, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88167, 3367, -340, -2289, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88207, 3420, -376, -2338, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88246, 3397, -372, -2289, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88286, 3396, -371, -2321, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88326, 3378, -361, -2305, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88365, 3375, -369, -2319, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88405, 3371, -368, -2336, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88445, 3371, -358, -2344, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88482, 3342, -334, -2369, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88520, 3350, -358, -2363, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88557, 3334, -393, -2363, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88595, 3353, -358, -2331, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88632, 3394, -400, -2347, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88670, 3362, -335, -2319, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88707, 3442, -331, -2277, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88745, 3492, -414, -2294, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
88782, 3515, -500, -2308, 94, 97363cc7-ce35-459e-9de8-582dce5b579a, , ruku, ruku, , 
