99577, 3395, 2, -2302, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
99614, 3339, -5, -2335, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
99652, 3437, 8, -2365, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
99690, 3336, -2, -2310, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
99728, 3404, -5, -2295, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
99765, 3421, 74, -2350, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
99803, 3401, 18, -2319, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
99841, 3418, -11, -2346, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
99879, 3373, 36, -2323, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
99917, 3389, 47, -2299, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
99957, 3413, -33, -2309, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
99998, 3353, 55, -2336, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100039, 3409, -3, -2313, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100080, 3395, 31, -2348, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100120, 3472, 51, -2407, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100161, 3379, -51, -2272, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100202, 3316, 43, -2265, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100243, 3426, 44, -2319, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100283, 3385, -36, -2286, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100324, 3353, 52, -2299, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100365, 3464, 57, -2376, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100406, 3409, 20, -2286, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100447, 3400, 65, -2304, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100485, 3425, 28, -2339, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100523, 3343, 27, -2302, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100561, 3398, 50, -2344, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100600, 3378, 25, -2344, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100638, 3354, 53, -2323, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100676, 3411, 19, -2328, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100715, 3397, -15, -2337, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100753, 3405, 64, -2304, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100791, 3387, 63, -2355, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100830, 3411, -8, -2307, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100868, 3419, 34, -2286, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100906, 3446, 72, -2319, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100945, 3444, 7, -2277, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
100983, 3433, 50, -2283, 100, 38a86fc8-25ef-45dc-bfef-6f33c3bdfd67, , ruku, ruku, , 
