56059, 3244, -640, -2458, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56102, 3250, -573, -2492, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56145, 3213, -586, -2491, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56188, 3212, -587, -2491, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56231, 3237, -593, -2484, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56270, 3222, -585, -2464, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56309, 3229, -568, -2491, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56349, 3245, -616, -2469, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56388, 3213, -604, -2478, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56427, 3236, -570, -2463, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56467, 3235, -569, -2469, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56506, 3221, -604, -2457, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56545, 3219, -618, -2485, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56585, 3210, -603, -2473, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56624, 3230, -594, -2476, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56664, 3236, -595, -2467, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56700, 3263, -592, -2465, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
56736, 3250, -599, -2467, 54, 3ddce5fa-c7b2-44a1-8707-6d5f7bf7a48e, , ruku, ruku, , 
