149578, 2816, -1007, -2831, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
149618, 2813, -911, -2839, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
149659, 2751, -950, -2875, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
149700, 2782, -1045, -2885, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
149740, 2743, -1030, -2896, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
149781, 2777, -993, -2876, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
149822, 2757, -945, -2896, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
149862, 2750, -1016, -2895, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
149903, 2758, -1014, -2904, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
149944, 2744, -963, -2877, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
149985, 2744, -992, -2861, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150022, 2781, -964, -2896, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150059, 2765, -991, -2855, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150097, 2796, -1010, -2888, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150134, 2780, -1008, -2860, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150171, 2761, -990, -2881, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150209, 2782, -1016, -2859, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150246, 2776, -994, -2860, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150283, 2801, -1028, -2847, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150321, 2790, -1011, -2842, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150358, 2799, -1012, -2835, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150396, 2801, -1026, -2849, 106, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150434, 2808, -989, -2839, 105, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
150472, 2772, -968, -2863, 105, 09dedc56-91dd-4d81-9a85-65955e99f758, , ruku, ruku, , 
