39527, -41, 4115, 112, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39568, -62, 4120, 106, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39603, -96, 4149, 88, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39638, -50, 4140, 13, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39673, -79, 4079, 58, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39708, -19, 4126, 76, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39743, 37, 4175, 14, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39778, -51, 4121, 45, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39813, 25, 4185, 127, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39848, -137, 4470, -32, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39883, -49, 3880, 293, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39918, -53, 4094, 255, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
39960, -88, 4324, 166, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40003, -54, 4023, 342, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40046, -35, 3934, 306, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40089, 83, 3952, 317, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40132, -25, 4065, 262, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40174, -28, 4090, 90, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40217, 66, 4174, -201, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40260, 0, 4168, -232, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40303, -112, 4128, -229, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40346, -162, 4129, -157, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40381, -154, 4131, -212, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40417, -159, 4056, -293, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40453, -100, 4085, -263, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40489, -80, 4147, -233, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40525, -113, 4181, -325, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40561, -150, 4131, -336, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40597, -167, 4103, -368, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40633, -201, 4053, -328, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40669, -183, 4066, -334, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40705, -194, 4053, -323, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40741, -194, 4020, -348, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
40785, -171, 4079, -315, 79, 4487bf4d-67ff-42a0-87dd-989b18cd2a58, , berdiri, bersedekap, , 
