28186, -262, 3945, -1253, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28227, -253, 3943, -1269, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28269, -256, 4014, -1336, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28303, -263, 3883, -1104, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28337, -241, 3891, -1204, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28372, -232, 3813, -1085, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28406, -231, 3908, -1102, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28441, -246, 3927, -1145, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28475, -280, 3914, -1102, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28510, -268, 3948, -1117, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28544, -236, 3928, -1168, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28579, -242, 3965, -1152, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28613, -269, 3959, -1168, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28648, -256, 3907, -1177, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28686, -248, 3895, -1147, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28725, -233, 3986, -1179, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28763, -256, 3929, -1129, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28802, -239, 3896, -1189, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28840, -247, 3885, -1091, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28879, -250, 3967, -1188, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28917, -251, 3992, -1096, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
28956, -234, 3999, -1179, , 24c9f8c1-12a4-4b58-8c4e-ba4131a622d4, , berdiri, bersedekap, , 
