228161, 158, 4043, -934, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228202, 198, 4014, -893, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228242, 204, 4014, -805, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228282, 181, 4003, -806, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228323, 188, 3997, -814, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228363, 215, 4026, -817, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228403, 200, 4023, -889, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228444, 207, 4004, -885, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228484, 189, 4015, -881, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228524, 212, 3970, -832, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228564, 208, 3993, -819, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228604, 204, 4011, -856, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228644, 185, 4059, -839, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228684, 207, 4011, -890, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228724, 229, 3995, -898, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228764, 227, 4024, -929, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228804, 214, 3958, -899, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228844, 174, 3945, -928, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228885, 189, 3987, -886, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228920, 197, 3949, -939, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228956, 190, 3958, -974, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
228991, 171, 4007, -1099, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229027, 192, 3993, -1064, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229062, 195, 3984, -947, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229098, 180, 4014, -905, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229133, 177, 3996, -880, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229169, 175, 3981, -942, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229204, 197, 3990, -992, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229240, 199, 3978, -991, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229273, 195, 3972, -942, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229306, 169, 3997, -943, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229340, 183, 3986, -920, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229373, 165, 4010, -929, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229407, 156, 3995, -986, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229440, 168, 3988, -947, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229474, 202, 4003, -950, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229507, 189, 3984, -916, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229541, 198, 3980, -920, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229574, 157, 3987, -944, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229608, 151, 3989, -933, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229648, 137, 3965, -952, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229689, 154, 3978, -962, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229730, 148, 3966, -963, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229771, 154, 3991, -987, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229812, 160, 3970, -941, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229852, 147, 3979, -943, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229893, 125, 3991, -953, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229934, 146, 4012, -918, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
229975, 129, 4007, -963, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230016, 140, 3949, -980, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230059, 122, 3969, -979, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230103, 132, 3972, -951, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230147, 161, 3995, -975, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230191, 146, 3979, -1018, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230235, 122, 3983, -1046, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230278, 128, 3990, -1034, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230322, 124, 3977, -1024, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230366, 121, 3952, -998, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230410, 132, 3981, -1045, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230454, 122, 3953, -1023, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230493, 97, 3986, -1020, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230533, 118, 3973, -1032, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230572, 122, 3961, -1005, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230612, 113, 3972, -990, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230652, 99, 3991, -1057, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230691, 100, 3976, -1021, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230731, 111, 3954, -983, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230771, 124, 3988, -987, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230810, 116, 3996, -1012, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230850, 119, 3959, -1010, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230890, 108, 3974, -1006, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230924, 145, 4001, -1001, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230959, 130, 3971, -964, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
230994, 155, 3970, -935, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231029, 128, 4016, -959, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231064, 141, 3978, -983, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231099, 128, 3955, -980, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231134, 137, 4010, -983, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231169, 141, 3999, -1010, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231204, 152, 3975, -1024, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231239, 142, 4014, -974, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231279, 141, 3959, -983, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231319, 146, 3970, -990, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
231359, 132, 3959, -979, 91, 2d20c07e-e2cf-4449-af46-9787d562cb35, , berdiri, bersedekap, , 
