277053, -2791, -1052, 618, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277092, -3217, -1435, 620, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277131, -3422, -1478, 349, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277171, -3585, -1784, 426, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277210, -3343, -1721, 188, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277250, -3279, -1991, -97, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277285, -3140, -2406, -386, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277321, -2947, -2397, -380, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277357, -2697, -2324, -526, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277393, -2454, -2251, -361, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277429, -2296, -2053, -341, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277465, -2285, -2189, -517, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277501, -2026, -1900, -681, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277537, -1689, -1456, -792, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277573, -1539, -1137, -862, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277609, -1435, -1136, -1182, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277646, -702, -525, -988, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277683, 231, -509, -480, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277720, 2434, 300, 356, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277757, 4778, 702, 1740, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277794, 7840, 1235, 2630, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277831, 10121, 852, 2791, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277868, 12072, 884, 1714, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
277905, 11872, 333, 724, 94, 819d956d-0568-4bc5-8b39-372e5fde3616, , transisi, transisi_ruku_ke_iktidal, , 
