219549, -3556, -1468, 757, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219587, -3642, -1245, 938, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219624, -3617, -1250, 969, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219661, -3579, -1466, 683, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219699, -3408, -1594, 496, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219736, -3287, -1549, 412, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219774, -2899, -1653, 93, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219811, -2334, -1324, -24, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219848, -2029, -959, 211, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219886, -1648, -537, 497, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219923, -1152, 204, 1108, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
219961, -760, 1229, 1847, 81, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220001, -517, 1929, 2319, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220042, -113, 2719, 3294, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220083, 670, 3318, 4184, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220123, 1602, 4665, 3977, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220164, 2190, 4046, 4229, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220205, 2150, 4833, 3239, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220245, 2924, 3455, 3468, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220286, 2890, 2802, 2752, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220327, 2932, 3530, 2225, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220368, 3452, 2255, 2260, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220407, 3971, 1824, 2302, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220447, 4016, 2873, 1301, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220487, 4066, 3048, 922, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220527, 3957, 4021, 1282, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220567, 3654, 2790, 897, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220606, 3575, 2114, 1060, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220646, 3664, 1662, 1085, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220686, 3526, 2019, 888, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
220726, 3368, 2239, 731, 82, 823d6c94-f778-4fd9-ab5c-c87c10bd877a, , transisi, transisi_ruku_ke_iktidal, , 
