351023, 3242, 3671, 2097, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351064, 2958, 4306, 2381, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351105, 2110, 3777, 2783, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351145, 1635, 3690, 2899, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351186, 1025, 3589, 2743, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351226, 558, 3644, 2760, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351267, 309, 3484, 2475, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351308, -434, 2619, 2292, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351345, -773, 2634, 2438, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351382, -1393, 1906, 2086, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351420, -1804, 2064, 2090, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351457, -2280, 1254, 1997, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351494, -2889, 998, 1809, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351532, -3050, 472, 1549, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351569, -3251, -116, 1300, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351606, -3253, -441, 1152, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351644, -3382, -860, 737, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351681, -3230, -1294, 464, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351719, -3336, -1348, 354, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351761, -3262, -1430, 325, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351803, -3135, -2054, 34, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351845, -3260, -1975, -52, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351887, -3146, -2328, -87, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
351929, -3031, -2557, -248, 79, 99e3e59f-c7b2-469b-9dba-e8dd9547af02, , transisi, transisi_ruku_ke_iktidal, , 
