50995, -2303, 2284, 1970, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51031, -2259, 1534, 2277, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51067, -2776, 1685, 2109, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51103, -2606, 940, 1620, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51139, -3101, 865, 1825, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51175, -3068, 605, 1818, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51212, -3189, 575, 2071, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51251, -3235, 676, 2296, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51291, -3319, 620, 2035, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51331, -3146, -130, 1368, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51371, -3488, -405, 1162, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51411, -3583, -201, 1581, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51451, -3419, 245, 1451, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51491, -3634, 501, 1925, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51531, -3443, 208, 1606, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51571, -3052, -502, 869, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51611, -2720, -605, 1123, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51656, -2122, -24, 1095, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51702, -1417, -124, 1275, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51747, -923, 1170, 1529, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51793, -347, 1493, 1199, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51839, 735, 1699, 1687, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51884, 821, 4553, 1427, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51930, 1465, 1504, 762, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
51975, 4469, 6262, -204, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52021, 3287, 2433, -586, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52067, 6983, 4091, -1604, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52098, 5522, 7018, -2451, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52129, 5506, 5014, -2869, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52160, 5428, 3334, -234, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52191, 2456, 4733, -2281, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52222, 3079, 2086, -1619, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52254, 2734, 1122, -1489, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52285, 3357, 1681, -2073, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52316, 3159, 1440, -1932, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52347, 3589, 1509, -1643, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52378, 3786, 1277, -1467, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52410, 3757, 1243, -1503, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52454, 3588, 1365, -1683, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
52499, 3384, 1394, -1769, 75, 7a20b365-202c-46a4-926b-eb8f6d8e824c, , transisi, transisi_ruku_ke_iktidal, , 
