137652, -2570, 2073, 1289, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137691, -2803, 1409, 1317, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137731, -3114, 1407, 1438, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137770, -3387, 797, 1266, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137809, -3569, 565, 1208, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137849, -3767, 41, 928, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137888, -3841, -257, 850, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137927, -3741, -762, 767, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
137967, -3699, -968, 458, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138003, -3796, -1062, 432, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138040, -3285, -1547, 643, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138076, -3140, -2057, 260, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138113, -3098, -2160, 289, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138150, -2852, -2416, 265, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138186, -2667, -2608, 147, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138223, -2398, -2778, -88, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138260, -2098, -2927, -178, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138296, -2001, -3048, -169, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138333, -1757, -3235, -343, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138370, -1287, -3255, -375, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138411, -916, -3015, -338, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138453, -581, -2802, -325, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138495, -533, -2253, -35, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138537, -499, -1715, -72, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138579, -242, -969, -93, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138621, 317, 16, 630, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138663, 364, 3282, 2113, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138705, -1332, 6225, 2874, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138747, 1051, 2963, 1354, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138789, 3599, 4186, 877, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138821, 5655, 3862, 1068, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138854, 7152, 4118, 1822, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138887, 9020, 4614, 2092, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138920, 9102, 3997, 489, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138953, 4201, 6631, -2167, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
138985, 3236, 2845, -733, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139018, 3389, 2607, -1104, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139051, 3663, 2574, -1412, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139084, 3714, 2321, -359, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139117, 2908, 1644, -248, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139150, 2720, 2076, -688, 74, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139189, 3519, 1952, -1075, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139229, 4036, 2215, -1239, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139269, 4434, 1825, -589, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139309, 4729, 3191, -432, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139349, 5036, -1322, 626, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139389, 4222, -565, 461, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139429, 4315, -854, 732, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139469, 4224, -93, 235, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139509, 4342, 755, -33, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139549, 4091, 1154, -100, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139593, 3923, 736, 61, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139638, 3799, 1047, 128, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139683, 3720, 1601, 107, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139728, 3715, 1919, 60, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139773, 3722, 1890, 151, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
139818, 3703, 2078, 132, 75, e1cb4cc5-3366-4a1e-ab52-20fb6087f3d0, , transisi, transisi_ruku_ke_iktidal, , 
