101227, -1630, -3584, -689, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101266, -1349, -3629, -946, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101306, -1121, -3755, -623, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101345, -855, -3152, -425, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101384, -659, -2458, -596, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101424, -291, -1739, -245, 66, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101459, 424, -1058, -73, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101495, 1260, -234, -208, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101531, 2206, 1890, 1450, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101566, 2181, 2511, 2243, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101602, 4854, 6166, 2699, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101638, 4194, 2723, 594, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101674, 7605, 1087, -351, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101709, 14871, 2, -68, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
101745, 16282, 5359, -3202, 71, 74973c99-f19e-4dcd-a5f5-827b56114e37, , transisi, transisi_ruku_ke_iktidal, , 
