87004, -3246, -974, 710, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87047, -2503, -2053, 189, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87090, -2334, -1776, 222, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87129, -1476, -2602, -481, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87168, -998, -3049, -784, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87207, -526, -3573, -723, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87246, -406, -3399, -554, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87285, -269, -2929, -583, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87324, -88, -2225, -518, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87363, 144, -1457, -393, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87402, 610, -720, -63, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87441, 1052, 1142, 1205, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87480, 940, 3055, 2496, 67, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87515, 3006, 5194, 2958, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87550, 3710, 5762, 1946, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87585, 5261, 5181, 2589, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87620, 7267, 3541, 1912, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87655, 8998, 3742, 968, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87690, 11608, 3548, 1914, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87725, 7236, 4229, -605, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87760, 3752, 2699, -518, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87795, 4559, 1800, -905, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87830, 4354, 2191, -1060, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
87866, 3739, 2638, 753, 68, a4ba4601-bc35-4884-8bdb-f2e0f2409c0c, , transisi, transisi_ruku_ke_iktidal, , 
