108699, 4229, 2310, -725, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
108739, 3932, 2578, -920, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
108779, 3744, 3441, -988, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
108820, 3337, 3556, -1009, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
108860, 3084, 4300, -842, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
108901, 2258, 3532, -733, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
108941, 1098, 3540, -473, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
108982, 236, 3791, -166, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109022, -507, 3155, 179, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109063, -1069, 3918, 320, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109103, -1508, 3097, 413, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109144, -2355, 2765, 640, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109184, -2468, 2877, 853, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109225, -2900, 2648, 744, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109260, -3002, 2160, 853, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109296, -3118, 1648, 823, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109332, -3279, 914, 1283, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109367, -3503, 513, 980, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109403, -3645, 192, 1213, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109439, -3604, -229, 930, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109475, -3578, -456, 975, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109510, -3393, -823, 807, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109546, -3259, -1200, 717, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109582, -3108, -1495, 720, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109618, -3024, -1873, 703, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109658, -3022, -2162, 736, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109698, -2963, -2354, 753, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109738, -2974, -2493, 576, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109778, -2934, -2627, 599, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109819, -2879, -2564, 612, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109859, -2824, -2669, 558, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109899, -2724, -2682, 572, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109939, -2444, -2567, 596, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
109979, -2184, -2529, 463, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110020, -1727, -2408, 338, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
110056, -1479, -2080, 162, 93, ec53251c-3ad8-43fc-a344-8ee75a35e8dc, , transisi, transisi_ruku_ke_iktidal, , 
