114080, 696, -1074, -46, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114114, 1351, 131, 143, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114148, 2610, 2385, 1041, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114182, 2512, 3668, 1849, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114216, 4947, 4342, 2414, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114250, 7068, 3610, 302, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114284, 11501, 2852, 498, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114318, 15704, 4970, -73, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114352, 9933, 5698, 320, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114386, 4812, 4983, -1594, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114427, 4003, 1395, -152, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114468, 4485, 2737, -1189, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114509, 4528, 3513, -1652, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114550, 3422, 2515, -45, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114591, 2524, 1946, 516, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
114632, 2448, 2455, -457, 74, 56406de5-28f1-43a0-8ce9-39afcf1d37a5, , transisi, transisi_ruku_ke_iktidal, , 
