240758, -2768, 133, 1980, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
240793, -2996, -252, 1978, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
240829, -3024, -413, 1980, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
240867, -3316, -202, 1932, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
240905, -3431, 76, 2225, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
240943, -3424, -568, 1275, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
240982, -3430, -1045, 738, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241020, -3419, -1255, 850, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241058, -3322, -1023, 805, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241097, -3441, -806, 943, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241135, -2851, -1153, 565, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241173, -2563, -997, 790, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241212, -1971, -332, 978, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241248, -1805, 420, 1641, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241284, -1426, 1205, 1132, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241321, -509, 1990, 1724, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241357, 153, 2402, 1536, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241394, 943, 2252, 1409, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241430, 2557, 4103, 323, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241467, 2628, 2281, -1638, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241503, 5916, 3487, -1688, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241540, 6079, 5367, -2538, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241576, 6088, 5616, -2331, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241613, 5099, 4364, -1848, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241652, 4718, 5065, -927, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241692, 4313, 5709, 323, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241732, 2984, 3019, -1093, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241772, 2384, 719, -1267, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241812, 3043, 2114, -1249, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241851, 3067, 2738, -1594, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241891, 3458, 2097, -1543, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241931, 3451, 1936, -1440, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
241971, 3462, 1766, -1468, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
242011, 3489, 1574, -1446, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
242057, 3336, 1512, -1537, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
242104, 3401, 1897, -1578, 103, 9d2d252b-c0f8-495e-880b-53612714abcf, , transisi, transisi_ruku_ke_iktidal, , 
