220488, 7178, 1705, 34, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220523, 6442, 1400, -583, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220558, 5029, 373, 598, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220593, 2825, 2710, 1819, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220628, 3051, 1479, 1338, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220663, 2936, 2136, 2190, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220698, 3106, 1606, 2230, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220733, 2721, 2336, 2333, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220768, 3059, 2211, 2435, 97, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220804, 2589, 2232, 2115, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220840, 2864, 2284, 2350, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220877, 2591, 2274, 2273, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220913, 2741, 2200, 2295, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220950, 2668, 2364, 2135, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
220986, 2533, 2607, 2109, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221023, 2724, 2346, 2142, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221059, 2640, 2475, 2088, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221096, 2797, 2245, 2027, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221132, 2731, 2362, 2057, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221169, 2819, 2278, 2019, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221209, 2753, 2328, 2046, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221250, 2726, 2332, 2058, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221290, 2827, 2309, 2040, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221331, 2876, 2249, 1987, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221371, 2871, 2245, 1995, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221412, 2830, 2271, 2016, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221452, 2680, 2413, 2057, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221493, 2609, 2329, 2025, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221533, 2894, 2229, 2029, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221574, 2983, 2096, 1794, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221616, 3139, 2110, 1713, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221659, 3142, 2204, 1667, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221701, 2663, 2537, 1739, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221744, 2736, 2608, 1816, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221787, 2864, 2496, 1692, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
221829, 2811, 2528, 1655, 98, b5d76272-8148-44ad-a542-c39817bf8dab, , transisi, transisi_iktidal_ke_sujud, , 
