169968, 4471, 853, 1417, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170008, 4694, 1499, 352, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170048, 4579, 1093, 512, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170088, 6435, 810, -622, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170128, 10855, 2608, -909, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170168, 834, 1078, 1803, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170208, 3011, 2329, 1258, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170248, 4339, -184, 1634, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170288, 2746, 2992, 1940, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170328, 3079, 1634, 1863, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170368, 2935, 2361, 1567, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170408, 3092, 2465, 2216, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170449, 2216, 2700, 1638, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170492, 2970, 2251, 1607, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170536, 2985, 2703, 1819, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170579, 3068, 2257, 1550, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170623, 2622, 2698, 1579, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170667, 3058, 2404, 1522, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170710, 2975, 2509, 1367, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170754, 3062, 2492, 1481, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170797, 2896, 2598, 1302, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170841, 3201, 2244, 1459, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170885, 3012, 2551, 1236, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170928, 3231, 2198, 1356, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
170972, 3062, 2426, 1335, 88, 080dc950-6b84-4215-8b7a-56bc330404be, , transisi, transisi_iktidal_ke_sujud, , 
